Epoch,First Derivative Mean Motion,Inclination (degrees),Right Ascension of the Ascending Node (degrees),Argument of Perigee (degrees),Mean Anomaly (degrees),Eccentricity,Mean Motion (revolutions per day),Revolution Number at Epoch
2022-12-31,0.00015684,51.644800000000004,77.04235,208.40055,320.4631,0.00052505,15.497978105000001,37584.5
2023-01-01,0.00016612666666666667,51.64456666666666,74.15113333333333,211.10356666666667,277.2930666666667,0.0005189333333333333,15.4982214,37593.666666666664
2023-01-02,0.000174914,51.644679999999994,69.55484,215.69364000000002,221.64474,0.00051118,15.498583501999999,37608.0
2023-01-03,0.00016237199999999998,51.644859999999994,64.71342,219.86414,202.58388,0.0004992200000000001,15.498873545999999,37623.2
2023-01-04,0.00014167,51.64474,59.07226000000001,225.67,219.52978,0.00049668,15.499122843999999,37640.8
2023-01-05,0.00013874,51.64482,54.69776,228.97012,250.77084,0.00049024,15.499368358000002,37654.6
2023-01-06,0.00014765166666666667,51.64505,49.61471666666667,232.61725,252.8807833333333,0.00048535,15.499716936666667,37670.333333333336
2023-01-07,0.000143605,51.64605,44.346875,231.079675,259.35722499999997,0.0005651499999999999,15.500040004999999,37687.0
2023-01-08,0.000140536,51.64512,39.853320000000004,237.089,271.20034,0.0005127599999999999,15.500273722,37701.0
2023-01-09,0.00013271500000000002,51.64541666666667,34.734183333333334,241.85580000000002,215.97586666666666,0.00048755,15.500533426666665,37717.166666666664
2023-01-10,0.000129235,51.644733333333335,29.874433333333332,244.68541666666667,229.70946666666669,0.00048274999999999994,15.500781816666667,37732.333333333336
2023-01-11,0.00013357,51.644259999999996,24.39848,250.02591999999999,180.06826,0.00047692000000000003,15.501103771999999,37749.4
2023-01-12,0.00013961199999999998,51.64432000000001,20.21292,255.66819999999998,212.50956000000002,0.0004661,15.50137384,37762.6
2023-01-13,0.000147682,51.64448,14.7334,261.57138,189.88068,0.00045991999999999995,15.501738036,37779.6
2023-01-14,0.00014860400000000002,51.64428,9.94668,265.57144,180.6391,0.00045432,15.502039980000001,37794.6
2023-01-15,0.000155835,51.64511666666667,4.9173,269.79558333333335,191.10195,0.0004549833333333333,15.502392768333332,37810.5
2023-01-16,0.00017042333333333333,51.64566666666667,180.07543333333334,274.36476666666664,183.08900000000003,0.0004475,15.502796123333333,37825.5
2023-01-17,0.00020332,51.64511666666667,355.0438,280.99156666666664,142.58763333333334,0.0004555,15.503311456666665,37841.333333333336
2023-01-18,0.00019558666666666665,51.644666666666666,350.2828333333334,274.76225,179.59421666666665,0.00046348333333333337,15.502739091666667,37856.166666666664
2023-01-19,0.00037283,51.6436,345.42973333333333,247.89106666666666,220.72571666666667,0.0005119,15.498429563333334,37871.5
2023-01-20,0.000189862,51.643820000000005,340.23310000000004,257.00286,198.3776,0.00050186,15.498774848,37887.8
2023-01-21,0.00022922666666666666,51.643750000000004,335.24885,262.6363666666667,218.77871666666667,0.00048801666666666667,15.499274198333334,37903.333333333336
2023-01-22,0.00022260857142857143,51.644,330.236,265.9411857142857,171.8034857142857,0.0004835857142857143,15.49972629857143,37919.0
2023-01-23,0.00023133666666666668,51.64471666666666,324.70385000000005,270.00714999999997,212.70176666666666,0.00047755,15.500285181666667,37936.333333333336
2023-01-24,0.00024105,51.64528333333334,320.50471666666664,273.7531666666667,201.86836666666667,0.0004788166666666667,15.500734889999999,37949.5
2023-01-25,0.0002466533333333333,51.64541666666667,315.5099666666667,277.60195,186.73671666666667,0.00047926666666666664,15.501258756666667,37965.0
2023-01-26,0.000244388,51.64567999999999,311.57172,280.69796,217.51848,0.00047818000000000003,15.501639032,37977.4
2023-01-27,0.00022144399999999998,51.64416,305.55841999999996,284.3721,151.92806000000002,0.00048211999999999994,15.502118131999998,37996.0
2023-01-28,0.00020623333333333335,51.64391666666666,300.7085333333334,284.96883333333335,181.35703333333333,0.0004882666666666667,15.502463825,38011.5
2023-01-29,0.000169075,51.64328333333333,295.74713333333335,287.8292666666667,192.01873333333333,0.0004655833333333333,15.502687146666666,38027.0
2023-01-30,0.000148826,51.64336000000001,290.57628,292.13338,181.4655,0.00046288,15.502937408,38043.2
2023-01-31,0.00012377833333333333,51.643566666666665,285.6792,295.8698166666667,187.20759999999999,0.00047835,15.503114853333335,38058.5
2023-02-01,0.00011948857142857143,51.64367142857143,280.62744285714285,301.8730142857143,138.28442857142858,0.00048279999999999997,15.503347358571428,38074.28571428572
2023-02-02,0.0001134675,51.6428,275.998425,305.4232,194.059775,0.000481275,15.5035401625,38088.75
2023-02-03,-0.0020926666666666667,51.641016666666665,270.5729166666667,311.50466666666665,148.90053333333333,0.0007033333333333333,15.499310361666666,38105.833333333336
2023-02-04,0.0001734025,51.642675,265.40765,313.493225,155.96895,0.000861175,15.495944847499999,38122.0
2023-02-05,0.000117915,51.642583333333334,260.882,316.38373333333334,157.65353333333334,0.0008222,15.496105561666667,38136.166666666664
2023-02-06,0.00011808499999999999,51.64265,256.00195,320.0064,134.22236666666666,0.00082555,15.496345875000001,38151.5
2023-02-07,0.00016421,51.6427,251.03813333333335,323.4555666666667,145.72438333333335,0.0008214833333333333,15.496714368333334,38166.833333333336
2023-02-08,0.00018285,51.64308333333333,246.21031666666667,327.32195,125.15343333333333,0.0008137999999999999,15.497120268333333,38182.0
2023-02-09,0.00020611333333333333,51.64261666666667,240.81251666666665,331.854,146.08259999999999,0.0008232000000000001,15.497618251666667,38199.0
2023-02-10,0.000205475,51.6425,235.947775,334.476375,135.59115,0.0008294,15.49803922,38214.25
